ts_ms,id,temp_c,volt_v,curr_a,fault
10500,0x100,18.13,4.028,-5.468,0x0
10600,0x100,18.78,4.028,-5.812,0x0
10700,0x100,19.50,4.028,-6.296,0x0
10800,0x100,20.31,4.028,-5.272,0x0
10900,0x100,21.19,4.028,-5.198,0x0
11000,0x100,22.08,4.028,-6.269,0x0
11100,0x100,22.97,4.028,-5.921,0x0
11200,0x100,23.93,4.026,-5.485,0x0
11300,0x100,24.98,4.026,-5.960,0x0
11400,0x100,26.03,4.026,-5.150,0x0
11500,0x100,27.16,4.024,-6.274,0x0
11600,0x100,28.29,4.024,-5.847,0x0
11700,0x100,29.41,4.023,-5.603,0x0
11800,0x100,30.62,4.023,-5.137,0x0
11900,0x100,31.83,4.021,-6.317,0x0
12000,0x100,33.04,4.020,-5.734,0x0
12100,0x100,34.33,4.020,-5.041,0x0
12200,0x100,35.54,4.018,-5.320,0x0
12300,0x100,36.83,4.016,-5.642,0x0
12400,0x100,38.12,4.015,-5.063,0x0
12500,0x100,39.41,4.013,-6.073,0x0
12600,0x100,40.70,4.012,-5.542,0x0
12700,0x100,41.99,4.010,-5.799,0x0
12800,0x100,43.27,4.008,-5.276,0x0
12900,0x100,44.56,4.007,-5.385,0x0
13000,0x100,45.77,4.005,-5.176,0x0
13100,0x100,47.06,4.004,-5.346,0x0
13200,0x100,48.27,4.002,-5.211,0x0
13300,0x100,49.48,4.000,-6.121,0x0
13400,0x100,50.69,3.999,-5.899,0x0
13500,0x100,51.90,3.995,-5.172,0x0
13600,0x100,53.03,3.994,-6.300,0x0
13700,0x100,54.07,3.992,-5.437,0x0
13800,0x100,55.20,3.989,-5.847,0x0
13900,0x100,56.17,3.987,-5.302,0x0
14000,0x100,57.22,3.984,-5.059,0x0
14100,0x100,58.18,3.983,-5.446,0x0
14200,0x100,59.07,3.979,-5.751,0x0
14300,0x100,59.88,3.976,-5.694,0x0
14400,0x100,60.68,3.975,-5.699,0x1
14500,0x100,61.49,3.971,-5.298,0x1
14600,0x100,62.21,3.968,-5.843,0x1
14700,0x100,62.86,3.966,-5.333,0x1
14800,0x100,63.42,3.963,-6.130,0x1
